time; x; y; h
0.0; 0.0; 0.0; 0.0
0.1; 0.0; 0.0; 0.2
0.2; 0.0; 0.0; 0.4
0.3; 0.0; 0.0; 0.6
0.4; 0.0; 0.0; 0.8
0.5; 0.0; 0.0; 1.0
0.6; -0.5; -0.1; 1.0
0.7; -1.0; -0.2; 1.0
0.8; -1.5; -0.3; 1.0
0.9; -2.0; -0.4; 1.0
1.0; -2.5; -0.5; 1.0
1.1; -3.0; -0.6; 1.0
1.2; -3.5; -0.7; 1.0
1.3; -4.0; -0.8; 1.0
1.4; -4.5; -0.9; 1.0
1.5; -5.0; -1.0; 1.0
1.6; -5.5; -1.1; 1.0
1.7; -6.0; -1.2; 1.0
1.8; -6.5; -1.3; 1.0
1.9; -7.0; -1.3; 1.0
2.0; -6.5; -1.2; 1.0
2.1; -6.0; -1.1; 1.0
2.2; -5.5; -1.0; 1.0
2.3; -5.0; -0.9; 1.0
2.4; -4.5; -0.8; 1.0
2.5; -4.0; -0.7; 1.0
2.6; -3.5; -0.6; 1.0
2.7; -3.0; -0.5; 1.0
2.8; -2.5; -0.4; 1.0
2.9; -2.0; -0.3; 1.0
3.0; -1.5; -0.2; 1.0
3.1; -1.0; -0.1; 1.0
3.2; -1.0; -0.1; 0.8
3.3; -1.0; -0.1; 0.6
3.4; -1.0; -0.1; 0.4
3.5; -1.0; -0.1; 0.2
3.6; -1.0; -0.1; 0.0
